epoch,lr,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.000999,185.7541,0.8836,0.6936,0.8952,0.7816,33.4642,0.8938,0.6947,0.9872,0.8155
2,0.000996,174.4801,0.8929,0.7084,0.9178,0.7996,31.4623,0.8971,0.7039,0.9795,0.8192
3,0.000991,153.4667,0.9006,0.7212,0.9337,0.8138,29.5205,0.9279,0.7810,0.9686,0.8647
4,0.000984,167.9006,0.8879,0.7035,0.8955,0.7880,44.3763,0.7999,0.5439,0.9856,0.7009
5,0.000976,174.8872,0.8547,0.6316,0.8991,0.7420,34.3879,0.8787,0.6635,0.9944,0.7959
6,0.000965,146.2678,0.9068,0.7379,0.9297,0.8227,26.4325,0.9240,0.7885,0.9298,0.8534
7,0.000952,125.3500,0.9154,0.7547,0.9428,0.8383,36.0640,0.9110,0.7556,0.9255,0.8319
8,0.000938,126.6065,0.9090,0.7381,0.9446,0.8287,25.6814,0.9281,0.7772,0.9782,0.8662
9,0.000922,123.9532,0.9124,0.7451,0.9486,0.8346,28.8691,0.9224,0.7618,0.9806,0.8575
10,0.000905,120.5971,0.9116,0.7406,0.9544,0.8340,68.9470,0.9213,0.8097,0.8748,0.8410
11,0.000885,127.5391,0.9133,0.7419,0.9615,0.8376,28.5775,0.9150,0.7445,0.9784,0.8456
12,0.000864,109.1710,0.9159,0.7483,0.9631,0.8422,28.2466,0.9281,0.7927,0.9451,0.8622
13,0.000842,113.1609,0.9184,0.7598,0.9486,0.8438,49.6311,0.9123,0.7908,0.8583,0.8232
14,0.000819,102.0429,0.9211,0.7680,0.9474,0.8483,35.5343,0.9200,0.7825,0.9190,0.8453
15,0.000794,118.1743,0.9200,0.7657,0.9448,0.8459,29.0517,0.9285,0.7779,0.9790,0.8669
16,0.000768,114.8401,0.9287,0.7896,0.9445,0.8601,25.1488,0.9371,0.8165,0.9489,0.8777
