epoch,lr,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.000499,335.7409,0.8771,0.6507,0.8892,0.7515,73.6704,0.8505,0.5725,0.9584,0.7168
2,0.000495,292.2054,0.8853,0.6668,0.9014,0.7665,70.5805,0.8615,0.5884,0.9931,0.7390
3,0.000488,291.3982,0.8830,0.6642,0.8912,0.7612,107.1767,0.8967,0.6925,0.8577,0.7663
4,0.000478,286.9786,0.8887,0.6738,0.9072,0.7733,69.4578,0.9170,0.7485,0.8728,0.8059
5,0.000467,264.6809,0.9041,0.7209,0.8842,0.7942,47.2919,0.8864,0.6374,0.9847,0.7739
6,0.000452,227.8709,0.9195,0.7638,0.8905,0.8223,65.9403,0.9111,0.7030,0.9515,0.8086
7,0.000436,245.5271,0.9143,0.7444,0.8989,0.8144,67.5802,0.9390,0.8503,0.8387,0.8445
8,0.000417,231.0877,0.9222,0.7800,0.8745,0.8246,45.6078,0.9245,0.7455,0.9374,0.8305
9,0.000397,231.8692,0.9298,0.8103,0.8673,0.8378,49.4799,0.9376,0.8032,0.9062,0.8516
10,0.000375,200.3682,0.9359,0.8065,0.9127,0.8563,38.4408,0.9473,0.8276,0.9261,0.8741
11,0.000352,212.1804,0.9323,0.8142,0.8759,0.8439,56.8909,0.9115,0.7104,0.9314,0.8060
12,0.000327,186.8479,0.9454,0.8470,0.9019,0.8736,51.2060,0.9494,0.8915,0.8466,0.8685
13,0.000302,189.3472,0.9451,0.8425,0.9071,0.8736,46.0325,0.9432,0.8290,0.8971,0.8617
14,0.000276,178.6259,0.9469,0.8447,0.9144,0.8781,44.3620,0.9473,0.8119,0.9539,0.8772
15,0.000250,177.8829,0.9495,0.8483,0.9232,0.8842,36.0267,0.9579,0.8552,0.9473,0.8989
16,0.000224,162.0098,0.9546,0.8618,0.9324,0.8957,32.6483,0.9512,0.8184,0.9675,0.8867
17,0.000198,160.1308,0.9552,0.8658,0.9303,0.8969,42.0064,0.9510,0.8350,0.9371,0.8831
18,0.000173,141.1453,0.9590,0.8673,0.9493,0.9064,50.2636,0.9521,0.8449,0.9276,0.8843
19,0.000148,133.8641,0.9594,0.8642,0.9560,0.9078,37.0812,0.9551,0.8306,0.9707,0.8952
20,0.000125,116.5477,0.9633,0.8745,0.9626,0.9164,52.5039,0.9549,0.8864,0.8850,0.8857
21,0.000103,116.2855,0.9643,0.8744,0.9684,0.9190,39.0226,0.9578,0.8495,0.9555,0.8994
22,0.000083,115.0177,0.9648,0.8778,0.9664,0.9200,33.2262,0.9628,0.8714,0.9519,0.9098
23,0.000064,103.3172,0.9676,0.8855,0.9707,0.9262,39.9985,0.9486,0.8033,0.9794,0.8826
24,0.000048,95.4870,0.9684,0.8830,0.9787,0.9284,35.7898,0.9539,0.8222,0.9778,0.8933
25,0.000033,90.8936,0.9707,0.8890,0.9828,0.9336,36.9162,0.9609,0.8597,0.9582,0.9063
26,0.000022,96.7468,0.9695,0.8850,0.9816,0.9308,36.6399,0.9614,0.8610,0.9593,0.9075
27,0.000012,93.3772,0.9703,0.8885,0.9808,0.9324,35.4445,0.9633,0.8641,0.9662,0.9123
28,0.000005,91.6800,0.9704,0.8911,0.9780,0.9325,40.7868,0.9622,0.8652,0.9579,0.9092
29,0.000001,94.2031,0.9713,0.8940,0.9788,0.9345,37.7928,0.9623,0.8643,0.9599,0.9096
30,0.000000,87.9131,0.9722,0.8962,0.9808,0.9366,37.8068,0.9623,0.8639,0.9604,0.9096
