epoch,lr,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.000999,107.7305,0.8777,0.7900,0.9024,0.8425,15.4116,0.9375,0.8633,0.9750,0.9157
2,0.000996,91.2777,0.8977,0.8062,0.9457,0.8704,15.2366,0.9039,0.7922,0.9814,0.8767
3,0.000991,69.2359,0.9094,0.8230,0.9565,0.8847,11.2557,0.9372,0.8580,0.9824,0.9160
4,0.000984,62.9646,0.9243,0.8531,0.9565,0.9018,20.6454,0.9385,0.8695,0.9689,0.9165
5,0.000976,69.0204,0.9168,0.8327,0.9641,0.8936,17.0891,0.9267,0.8412,0.9733,0.9024
6,0.000965,60.6111,0.9289,0.8579,0.9636,0.9077,16.1055,0.9181,0.8166,0.9864,0.8935
7,0.000952,58.9904,0.9259,0.8577,0.9544,0.9035,11.8580,0.9502,0.9031,0.9599,0.9306
8,0.000938,57.0637,0.9361,0.8762,0.9598,0.9161,15.4797,0.9128,0.8026,0.9943,0.8882
9,0.000922,54.7364,0.9334,0.8636,0.9699,0.9136,16.4846,0.9463,0.8947,0.9586,0.9255
10,0.000905,50.4759,0.9407,0.8789,0.9706,0.9225,13.9351,0.9318,0.8442,0.9863,0.9098
11,0.000885,49.4786,0.9409,0.8787,0.9710,0.9226,11.5462,0.9514,0.8925,0.9784,0.9335
12,0.000864,53.2768,0.9422,0.8892,0.9607,0.9236,14.6684,0.9323,0.8405,0.9943,0.9110
13,0.000842,45.5212,0.9481,0.8948,0.9715,0.9315,15.3548,0.9541,0.9144,0.9580,0.9357
14,0.000819,51.6973,0.9434,0.8844,0.9707,0.9255,11.7628,0.9539,0.9005,0.9753,0.9364
15,0.000794,51.0893,0.9460,0.8993,0.9586,0.9280,12.6008,0.9458,0.9084,0.9390,0.9235
16,0.000768,47.1477,0.9517,0.9034,0.9709,0.9359,10.3358,0.9450,0.8665,0.9955,0.9266
17,0.000741,43.2327,0.9529,0.9044,0.9732,0.9376,13.0386,0.9539,0.9085,0.9648,0.9358
18,0.000713,42.7904,0.9542,0.9084,0.9715,0.9389,11.7143,0.9487,0.8831,0.9829,0.9303
19,0.000684,42.0473,0.9516,0.9017,0.9728,0.9359,11.3324,0.9530,0.8953,0.9797,0.9356
20,0.000655,43.1752,0.9563,0.9115,0.9743,0.9419,12.3878,0.9499,0.8856,0.9832,0.9318
21,0.000624,42.4661,0.9566,0.9156,0.9700,0.9420,11.1367,0.9541,0.9046,0.9706,0.9364
22,0.000594,34.4164,0.9574,0.9114,0.9778,0.9434,11.4887,0.9531,0.8958,0.9793,0.9357
23,0.000563,38.8891,0.9571,0.9069,0.9824,0.9432,11.4175,0.9567,0.9051,0.9782,0.9403
24,0.000531,39.6594,0.9587,0.9170,0.9743,0.9448,11.4278,0.9551,0.9028,0.9762,0.9381
25,0.000500,34.6873,0.9618,0.9200,0.9802,0.9492,11.6638,0.9549,0.9089,0.9675,0.9373
26,0.000469,36.7499,0.9580,0.9093,0.9824,0.9444,12.4220,0.9563,0.9054,0.9768,0.9397
27,0.000437,35.4195,0.9597,0.9141,0.9814,0.9465,11.3396,0.9548,0.8958,0.9848,0.9382
28,0.000406,43.2637,0.9545,0.9164,0.9626,0.9389,11.4881,0.9554,0.9037,0.9760,0.9385
29,0.000376,33.5929,0.9595,0.9140,0.9806,0.9462,12.6951,0.9538,0.9126,0.9592,0.9353
30,0.000345,34.7243,0.9612,0.9261,0.9705,0.9478,11.3391,0.9556,0.9102,0.9680,0.9382
31,0.000316,34.3143,0.9644,0.9254,0.9807,0.9523,12.0123,0.9532,0.8952,0.9803,0.9358
32,0.000287,32.4415,0.9643,0.9255,0.9804,0.9522,11.6568,0.9535,0.9051,0.9680,0.9355
33,0.000259,30.2078,0.9654,0.9263,0.9827,0.9537,10.5472,0.9544,0.8987,0.9796,0.9374
34,0.000232,30.5042,0.9635,0.9186,0.9871,0.9516,12.0260,0.9542,0.8992,0.9781,0.9370
35,0.000206,30.7733,0.9667,0.9325,0.9792,0.9553,11.9057,0.9573,0.9225,0.9578,0.9398
36,0.000181,30.0512,0.9656,0.9258,0.9842,0.9541,12.8271,0.9554,0.9040,0.9754,0.9384
37,0.000158,30.1657,0.9668,0.9301,0.9824,0.9555,12.9687,0.9571,0.9172,0.9639,0.9400
38,0.000136,27.4242,0.9663,0.9293,0.9817,0.9548,13.7512,0.9569,0.9176,0.9627,0.9396
39,0.000115,29.0717,0.9663,0.9334,0.9770,0.9547,15.0467,0.9570,0.9217,0.9578,0.9394
