epoch,lr,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
40,0.000095,26.5549,0.9682,0.9308,0.9859,0.9576,12.6569,0.9568,0.9135,0.9677,0.9398
41,0.000078,28.3499,0.9687,0.9349,0.9821,0.9579,12.2572,0.9561,0.9083,0.9723,0.9392
42,0.000062,27.0573,0.9698,0.9354,0.9846,0.9594,12.3856,0.9578,0.9159,0.9678,0.9412
43,0.000048,25.5302,0.9693,0.9334,0.9857,0.9589,12.3914,0.9581,0.9158,0.9687,0.9415
44,0.000035,24.6330,0.9698,0.9365,0.9836,0.9594,12.8516,0.9573,0.9109,0.9726,0.9408
45,0.000024,23.6633,0.9699,0.9361,0.9844,0.9596,13.1843,0.9578,0.9173,0.9659,0.9410
46,0.000016,24.9784,0.9703,0.9377,0.9835,0.9600,13.0087,0.9570,0.9099,0.9727,0.9403
47,0.000009,24.3913,0.9707,0.9366,0.9862,0.9608,13.4467,0.9578,0.9171,0.9663,0.9411
48,0.000004,26.3208,0.9704,0.9372,0.9845,0.9603,13.2542,0.9576,0.9145,0.9689,0.9409
49,0.000001,25.4879,0.9707,0.9387,0.9834,0.9605,13.3425,0.9576,0.9154,0.9678,0.9409
50,0.000000,25.3872,0.9707,0.9381,0.9844,0.9607,13.3465,0.9576,0.9153,0.9680,0.9409
